domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
changehealthcare.ie,changehealthcare.ie,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('changehealthcare.ie does not have a SPF TXT record ', 'changehealthcare.ie')",,A DMARC record does not exist for this domain or its base domain,,ns1.markmonitor.com|ns2.markmonitor.com|ns3.markmonitor.com|ns4.markmonitor.com|ns5.markmonitor.com|ns6.markmonitor.com|ns7.markmonitor.com,,
channelislandssurgicenter.com,channelislandssurgicenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('channelislandssurgicenter.com does not have a SPF TXT record ', 'channelislandssurgicenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
citrussurgerycenter.com,citrussurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('citrussurgerycenter.com does not have a SPF TXT record ', 'citrussurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
cjasc.com,cjasc.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:e9fbkgxn@ag.c1.dmarcian.com,mailto:e9fbkgxn@fr.c1.dmarcian.com,none,"0, maila16.webcontrolcenter.com",,,v=spf1 a mx/24 ip4:63.134.207.1/24 ip4:216.119.112.141 ?all,v=DMARC1; p=none; rua=mailto:e9fbkgxn@ag.c1.dmarcian.com; ruf=mailto:e9fbkgxn@fr.c1.dmarcian.com;,cjasc.com,,160.19.50.40 does not have any reverse DNS (PTR) records,,The domain /24 does not exist,,,pdns13.domaincontrol.com|pdns14.domaincontrol.com,,
clinicalacolina.com,clinicalacolina.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"5, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:190.248.60.32/27 ip4:200.31.65.17 ip4:186.31.133.10 ip4:149.111.143.21 include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,clinicalacolina.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.141.231 is mail101.corpmailsvcs.com, but the A/AAAA DNS records for mail101.corpmailsvcs.com do not resolve to 149.111.141.231",,,,,nameserver04.mi.com.co|nameserver02.mi.com.co|nameserver01.mi.com.co|nameserver03.mi.com.co,,
coa.pe,coa.pe,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"15, mailrnh.corpmailsvcs.com|20, coa.pe",,,v=spf1 include:_spfae.corpmailsvcs.com include:_spf.google.com include:spf.protection.outlook.com ip4:174.138.169.58 ip4:174.138.169.58 ip4:161.132.118.80/29 +a ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,coa.pe,,,,,,,NS.RCP.NET.pe|NS2.RCP.NET.pe,,
coastalcounselingcenter.com,coastalcounselingcenter.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:209.160.104.115 ip4:209.160.104.120 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,coastalcounselingcenter.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org,,
colmedica.com,colmedica.com,False,False,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:190.217.17.54 ip4:200.31.13.220 include:carvajalcomunicacion.com include:amazonses.com include:spf.mandrillapp.com include:_spfAE.corpmailsvcs.com include:spf.masterbase.com include:spf.protection.outlook.com include:spf1.masivapp.com include:_spf.us.sendclean.net -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,colmedica.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.205.66 is ovarp0668.corpmailsvcs.com, but the A/AAAA DNS records for ovarp0668.corpmailsvcs.com do not resolve to 149.111.205.66",Parsing the SPF record requires 11/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,,,ns1.impsat.net.co|juno.impsat.net.co,,
colonialoutpatientsurgerycenter.com,colonialoutpatientsurgerycenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('colonialoutpatientsurgerycenter.com does not have a SPF TXT record ', 'colonialoutpatientsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
connectyourcare.com,connectyourcare.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com|mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:spf.protection.outlook.com include:app.sgizmo.com include:cust-spf.exacttarget.com include:sendgrid.net include:amazonses.com include:mktomail.com ip4:34.204.245.11 ip4:34.207.42.144 ip4:69.25.76.47 include:_spfae.corpmailsvcs.com -all,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com",connectyourcare.com,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
cshp.net,cshp.net,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mailrnh.corpmailsvcs.com",,,v=spf1 a mx ip4:128.136.167.150 ip4:128.136.167.151 include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,cshp.net,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
ctsurgerycenter.com,ctsurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('ctsurgerycenter.com does not have a SPF TXT record ', 'ctsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
daybreaktreatment.com,daybreaktreatment.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:209.160.104.115 ip4:209.160.104.120 ip4:66.206.11.214 ip4:75.66.57.213 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,daybreaktreatment.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org,,
dbp.com,dbp.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mail1.corpmailsvcs.com|0, mail10.corpmailsvcs.com|0, mail11.corpmailsvcs.com|0, mail128.corpmailsvcs.com|0, mail131.corpmailsvcs.com|0, mail134.corpmailsvcs.com|0, mail17.corpmailsvcs.com|0, mail2.corpmailsvcs.com|0, mail20.corpmailsvcs.com|0, mail21.corpmailsvcs.com|0, mail27.corpmailsvcs.com|0, mail30.corpmailsvcs.com|0, mail33.corpmailsvcs.com|0, mail36.corpmailsvcs.com|0, mail50.corpmailsvcs.com|0, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,dbp.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com,,
denversurgerycenter.com,denversurgerycenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('denversurgerycenter.com does not have a SPF TXT record ', 'denversurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,ns16.domaincontrol.com|ns15.domaincontrol.com,,
digestiveaz.com,digestiveaz.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:e9fbkgxn@ag.c1.dmarcian.com,mailto:e9fbkgxn@fr.c1.dmarcian.com,reject,"0, digestiveaz-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com Ip4:174.67.126.34 -all,v=DMARC1; p=reject; rua=mailto:e9fbkgxn@ag.c1.dmarcian.com; ruf=mailto:e9fbkgxn@fr.c1.dmarcian.com;,digestiveaz.com,,,,,,,pdns11.domaincontrol.com|pdns12.domaincontrol.com,,
diplomatpharmacy.com,diplomatpharmacy.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 ip4:72.26.195.64/27 ip4:74.63.47.96/27 ip4:173.231.138.192/27 ip4:173.231.139.0/24 ip4:173.231.176.0/21 ip4:173.231.184.0/21 ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:12.162.242.214 include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,diplomatpharmacy.com,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
divvydose.com,divvydose.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 ip4:149.111.205.81 ip4:149.111.205.96 include:mail.zendesk.com include:sendgrid.net include:transmail.net include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,divvydose.com,,,,,,,ns-1034.awsdns-01.org|ns-1812.awsdns-34.co.uk|ns-184.awsdns-23.com|ns-919.awsdns-50.net,,
docasap.com,docasap.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com|mailto:dapostmaster@docasap.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dapostmaster@docasap.com,reject,"1, mailrnh.corpmailsvcs.com|10, aspmx.l.google.com|20, alt1.aspmx.l.google.com|30, alt2.aspmx.l.google.com|40, aspmx2.googlemail.com|50, aspmx3.googlemail.com",,,v=spf1 a ip4:104.130.81.96 ip4:50.57.1.163 ip4:198.101.165.146 ip4:104.130.81.98 include:_spf.google.com include:mktomail.com include:aspmx.pardot.com include:_spfae.corpmailsvcs.com -all,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com,mailto:dapostmaster@docasap.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dapostmaster@docasap.com",docasap.com,,,,,,,kara.ns.cloudflare.com|sean.ns.cloudflare.com,,
drycreeksurgerycenter.com,drycreeksurgerycenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('drycreeksurgerycenter.com does not have a SPF TXT record ', 'drycreeksurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
ecode.solutions,ecode.solutions,False,True,False,,,,,,,,,,,"0, ecode.solutions",,,v=spf1 ip4:216.137.176.109 +a +include:spf.supercp.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns21613717611.a2dns.com|ns216137176109.a2dns.com,,
edelsonandassociates.info,edelsonandassociates.info,False,True,False,,,,,,,,,,,"0, smtp.secureserver.net|10, mailstore1.secureserver.net",,,v=spf1 ip4:209.160.104.115 ip4:209.160.104.120 ip4:66.206.11.214 +a +mx +ip4:66.206.11.210 ~all,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 216.69.141.81 is p3plibsmtp01-v01.prod.phx3.secureserver.net, but the A/AAAA DNS records for p3plibsmtp01-v01.prod.phx3.secureserver.net do not resolve to 216.69.141.81",,,A DMARC record does not exist for this domain or its base domain,,edns4.ultradns.org|edns4.ultradns.com|edns4.ultradns.biz|epla2.corpnamesvcs.com|edns4.ultradns.net|epla1.corpnamesvcs.com,,
ehrdocs.com,ehrdocs.com,False,False,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com",,,v=spf1 ip4:12.53.160.126 ip4:208.117.54.45 include:aspmx.pardot.com include:o97.email.pd25.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,ehrdocs.com,,,"('o97.email.pd25.com does not have a SPF TXT record ', 'o97.email.pd25.com')",,,,pdns77.ultradns.biz|pdns77.ultradns.org|pdns77.ultradns.com|pdns77.ultradns.net,,
empresasbanmedica.cl,empresasbanmedica.cl,False,False,False,,,,,,,,,,,"1, aspmx.l.google.com|5, alt1.aspmx.l.google.com|5, alt2.aspmx.l.google.com|10, alt3.aspmx.l.google.com|10, alt4.aspmx.l.google.com",,,,,,,2800:3f0:4003:c00::1b does not have any reverse DNS (PTR) records,"(MultipleSPFRTXTRecords('empresasbanmedica.cl has multiple SPF TXT records )'), 'empresasbanmedica.cl')",,A DMARC record does not exist for this domain or its base domain,,ns3.p68.dns.oraclecloud.net|ns4.p68.dns.oraclecloud.net|ns1.p68.dns.oraclecloud.net|ns2.p68.dns.oraclecloud.net,,
endoscopyofbuckscounty.com,endoscopyofbuckscounty.com,False,False,False,,,,,,,,,,,"20, mx.iqemail.net",,,,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 72.35.12.4 is mx3.electric.net, but the A/AAAA DNS records for mx3.electric.net do not resolve to 72.35.12.4","('endoscopyofbuckscounty.com does not have a SPF TXT record ', 'endoscopyofbuckscounty.com')",,A DMARC record does not exist for this domain or its base domain,,dns3.name-services.com|dns2.name-services.com|dns5.name-services.com|dns4.name-services.com|dns1.name-services.com,,
enshealth.com,enshealth.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,enshealth.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com,,
epichearing.com,epichearing.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,epichearing.com,,"The resolution lifetime expired after 10.000 seconds: Server Do53:1.1.1.1@53 answered The DNS operation timed out.|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.203.176.100 is mail10.corpmailsvcs.com, but the A/AAAA DNS records for mail10.corpmailsvcs.com do not resolve to 198.203.176.100|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.203.176.101 is mail11.corpmailsvcs.com, but the A/AAAA DNS records for mail11.corpmailsvcs.com do not resolve to 198.203.176.101",,,,,epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
equian.com,equian.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com include:spf.protection.outlook.com a:b.spf.service-now.com a:c.spf.service-now.com ip4:161.249.83.172 ip4:161.249.147.164 -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,equian.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.203.176.101 is mail11.corpmailsvcs.com, but the A/AAAA DNS records for mail11.corpmailsvcs.com do not resolve to 198.203.176.101|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.143.32 is mail128.corpmailsvcs.com, but the A/AAAA DNS records for mail128.corpmailsvcs.com do not resolve to 149.111.143.32|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.143.38 is mail131.corpmailsvcs.com, but the A/AAAA DNS records for mail131.corpmailsvcs.com do not resolve to 149.111.143.38",,,,,dns1.cscdns.net|dns2.cscdns.net,,
erxnetwork.com,erxnetwork.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:170.138.32.87 ip4:170.138.221.40 ip4:170.138.0.34 ip4:170.138.16.49 include:_spfae.corpmailsvcs.com include:spf-003a1001.pphosted.com include:spf.protection.outlook.com include:spf.z224.zixworks.com include:spf.emd37214.zixworks.com ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,erxnetwork.com,,,,,,,anuj.ns.cloudflare.com|hazel.ns.cloudflare.com,,
everettclinic.com,everettclinic.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:68.64.54.128/25 ip4:161.249.206.205/32 ip4:161.249.179.132/32 ip4:68.232.128.0/24 include:servers.mcsv.net include:_spf.qualtrics.com include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com include:cust-spf.exacttarget.com include:amazonses.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,everettclinic.com,,,,,,,ns85.worldnic.com|ns86.worldnic.com,,
excelmso.com,excelmso.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"1, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:64.80.120.178 ip4:64.247.25.138 ip4:209.123.49.114 ip4:63.71.13.0/24 ip4:63.71.14.0/24 ip4:63.71.15.0/24 ip4:74.203.184.0/23 ip4:199.30.235.0/24 ip4:199.30.236.0/24 ip4:91.209.6.0/24 include:smtp1.dnsmadeeasy.com include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,excelmso.com,,,,,,,ns23.domaincontrol.com|ns24.domaincontrol.com,,
excelsiorinsurance.com,excelsiorinsurance.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:spf.protection.outlook.com include:mktomail.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,excelsiorinsurance.com,,,,,,,edns4.ultradns.com|edns4.ultradns.org|epla1.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.net|epla2.corpnamesvcs.com,,
executivesurgerycenter.net,executivesurgerycenter.net,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('executivesurgerycenter.net does not have a SPF TXT record ', 'executivesurgerycenter.net')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
eyeclinic.com.br,eyeclinic.com.br,False,False,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dmarcuhgbr@uhgbrasil.com.br,reject,"1, eyeclinic-com-br.mail.protection.outlook.com|1, mailbr.corpmailsvcs.com",,,,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dmarcuhgbr@uhgbrasil.com.br",eyeclinic.com.br,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.143.63 is ovarp0681.corpmailsvcs.com, but the A/AAAA DNS records for ovarp0681.corpmailsvcs.com do not resolve to 149.111.143.63","(MultipleSPFRTXTRecords('eyeclinic.com.br has multiple SPF TXT records )'), 'eyeclinic.com.br')",,,"uhgbrasil.com.br does not indicate that it accepts DMARC reports about eyeclinic.com.br - Authorization record not found: eyeclinic.com.br._report._dmarc.uhgbrasil.com.br ""                     IN TXT ""v=DMARC1""",dnsext01.amilonline.com.br|dnsext04.amilonline.com.br|dnsext02.amilonline.com.br|dnsext03.amilonline.com.br,,
