domain,owner,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
carelon.com,ELV,carelon.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,carelon.com,,,,,,,ns1.domain53hosting.com|ns2.domain53hosting.com|ns3.domain53hosting.com,,
carelonbehavioralhealth.com,ELV,carelonbehavioralhealth.com,False,False,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,carelonbehavioralhealth.com,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('carelonbehavioralhealth.com does not have a SPF TXT record', 'carelonbehavioralhealth.com'), 'carelonbehavioralhealth.com')",,,,ns1.domain53hosting.com|ns2.domain53hosting.com|ns3.domain53hosting.com,,
careloninsights.com,ELV,careloninsights.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001bee01.gslb.pphosted.com|10, mxb-001bee01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,careloninsights.com,,,,,,,ns3.domain53hosting.com|ns1.domain53hosting.com|ns2.domain53hosting.com,,
caremark.com,CVS,caremark.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:aetna@rua.agari.com,mailto:aetna@ruf.agari.com,reject,"10, usb-smtp-inbound-1.mimecast.com|10, usb-smtp-inbound-2.mimecast.com",,,v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:aetna@rua.agari.com; ruf=mailto:aetna@ruf.agari.com,caremark.com,,,,,,,dmtu.mt.ns.els-gms.att.net|eazshdcdnsextdns.cvshealth.com|cbru.br.ns.els-gms.att.net|dbru.br.ns.els-gms.att.net|cmtu.mt.ns.els-gms.att.net,,
caremount.com,UNH,caremount.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"10, mailrnh.corpmailsvcs.com",,,v=spf1 include:spf.messagelabs.com include:res.cisco.com include:_spfae.corpmailsvcs.com ip4:208.86.168.7 ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,caremount.com,,,,,,,pdns11.domaincontrol.com|pdns12.domaincontrol.com,,
carolinacoastsc.com,UNH,carolinacoastsc.com,False,False,False,,,,,,,,,,,"0, d249202a.ess.barracudanetworks.com|10, d249202b.ess.barracudanetworks.com|92, carolinacoastsc-com.mail.protection.outlook.com",,,,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.2 is mail-sn1pr03cu00102.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sn1pr03cu00102.inbound.protection.outlook.com do not resolve to 52.101.11.2|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.9 is mail-sn1pr02cu00101.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sn1pr02cu00101.inbound.protection.outlook.com do not resolve to 52.101.11.9|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.42.4 is mail-co1pr03cu00104.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-co1pr03cu00104.inbound.protection.outlook.com do not resolve to 52.101.42.4","(MultipleSPFRTXTRecords('carolinacoastsc.com has multiple SPF TXT records )'), 'carolinacoastsc.com')",,A DMARC record does not exist for this domain or its base domain,,ns29.domaincontrol.com|ns30.domaincontrol.com,,
catequip.com,BRK,catequip.com,False,True,False,,,,,,,,,,,"0, catequip-com.mail.protection.outlook.com",,,v=spf1 ip4:93.17.23.106 include:spf.protection.outlook.com -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,hybrid1038.fr.ns.planethoster.net|hybrid1038-1.fr.ns.planethoster.net,,
ccbtcolumbus.com,UNH,ccbtcolumbus.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:_spf.hushmail.com include:spf.protection.outlook.com ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,ccbtcolumbus.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org,,
ccpi-europe.com,BRK,ccpi-europe.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:it@ccpi-europe.com,mailto:it@ccpi-europe.com,quarantine,"10, mx1-us1.ppe-hosted.com|15, mx2-us1.ppe-hosted.com",,,v=spf1 include:spf.protection.outlook.com mx ip4:160.153.162.10 a:dispatch-us.ppe-hosted.com -all,v=DMARC1; p=quarantine; rua=mailto:it@ccpi-europe.com; ruf=mailto:it@ccpi-europe.com,ccpi-europe.com,,,,,,,ns69.domaincontrol.com|ns70.domaincontrol.com,,
cencora.com,COR,cencora.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-00320f01.gslb.pphosted.com|10, mxb-00320f01.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=reject; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cencora.com,,,,,,,ns2.cencora.com|dns4.p01.nsone.net|dns3.p01.nsone.net|dns1.p01.nsone.net|dns2.p01.nsone.net,,
centromed.cl,UNH,centromed.cl,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"1, mailrnh.corpmailsvcs.com",,,v=spf1 a ip4:200.6.100.101 include:_spfae.corpmailsvcs.com include:_spf.google.com include:spf.protection.outlook.com ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com;,centromed.cl,,,,centromed.cl does not have any A/AAAA records,,,ns-cloud-e2.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e3.googledomains.com,,
cerro-ems.com,BRK,cerro-ems.com,False,True,False,,,,,,,,,,,"0, eu-smtp-inbound-1.mimecast.com|10, eu-smtp-inbound-2.mimecast.com",,,v=spf1 ip4:82.148.58.24/29 ip4:82.148.63.40/29 include:_netblocks.mimecast.com include:spf.protection.outlook.com -all  ,,,,,,Any text after the all mechanism is ignored,A DMARC record does not exist for this domain or its base domain,,ns1-09.azure-dns.com|ns2-09.azure-dns.net|ns3-09.azure-dns.org|ns4-09.azure-dns.info,,
cerro.com,BRK,cerro.com,False,True,False,,,,,,,,,,,"0, cerro-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,52.101.8.36 does not have any reverse DNS (PTR) records,,,A DMARC record does not exist for this domain or its base domain,,ns95.worldnic.com|ns96.worldnic.com,,
cerrofabricated.com,BRK,cerrofabricated.com,False,True,False,,,,,,,,,,,"0, mx1-us1.ppe-hosted.com|0, mx2-us1.ppe-hosted.com|10, cerrofabricated-com.mail.protection.outlook.com",,,v=spf1 a mx ip4:209.145.85.196 ip4:209.145.85.196 a:mail.cerrofabricated.com mx:cerrofabricated.com.inbound10.mxlogic.net mx:cerrofabricated.com.inbound10.mxlogicmx.net a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com ~all,,,,,,cerrofabricated.com.inbound10.mxlogic.net does not have any MX records|cerrofabricated.com.inbound10.mxlogicmx.net does not have any MX records,A DMARC record does not exist for this domain or its base domain,,ns18.worldnic.com|ns17.worldnic.com,,
cerroflow.com,BRK,cerroflow.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:it+dmarc@cerroflow.com,,none,"0, cerroflow-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com ip4:71.14.205.200/32 ip4:65.255.157.150/32 -all,v=DMARC1; p=none; rua=mailto:it+dmarc@cerroflow.com; pct=100,cerroflow.com,,,,,,,ns5.worldnic.com|ns6.worldnic.com,,
cerrowire.com,BRK,cerrowire.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,,,none,"10, mx1-us1.ppe-hosted.com|20, mx2-us1.ppe-hosted.com",,,v=spf1 ip4:208.40.204.46 ip4:149.72.147.186 ip4:167.89.101.239 ip4:168.245.40.44 ip4:142.0.180.120  a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com include:spf.emailsignatures365.com,v=DMARC1; p=none; pct=100,cerrowire.com,,,,,,rua tag (destination for aggregate reports) not found,ns12.worldnic.com|ns11.worldnic.com,,
changehealthcare.co.uk,UNH,changehealthcare.co.uk,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('changehealthcare.co.uk does not have a SPF TXT record ', 'changehealthcare.co.uk')",,A DMARC record does not exist for this domain or its base domain,,,The resolution lifetime expired after 10.000 seconds: Server Do53:1.1.1.1@53 answered The DNS operation timed out.,
changehealthcare.com,UNH,changehealthcare.com,True,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com.,none,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:170.138.32.1 ip4:170.138.220.200 ip4:170.138.0.34 ip4:170.138.16.49 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com include:spf.z224.zixworks.com include:spf.emd37214.zixworks.com include:_netblocks.eloqua.com include:spf-003a1001.pphosted.com ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com.,changehealthcare.com,,,,,,,adaline.ns.cloudflare.com|casey.ns.cloudflare.com,,
changehealthcare.com.au,UNH,changehealthcare.com.au,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('changehealthcare.com.au does not have a SPF TXT record ', 'changehealthcare.com.au')",,A DMARC record does not exist for this domain or its base domain,,ns1.markmonitor.com|ns2.markmonitor.com|ns5.markmonitor.com|ns6.markmonitor.com|ns3.markmonitor.com|ns4.markmonitor.com|ns7.markmonitor.com,,
changehealthcare.ie,UNH,changehealthcare.ie,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('changehealthcare.ie does not have a SPF TXT record ', 'changehealthcare.ie')",,A DMARC record does not exist for this domain or its base domain,,ns1.markmonitor.com|ns2.markmonitor.com|ns3.markmonitor.com|ns4.markmonitor.com|ns5.markmonitor.com|ns6.markmonitor.com|ns7.markmonitor.com,,
channelislandssurgicenter.com,UNH,channelislandssurgicenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('channelislandssurgicenter.com does not have a SPF TXT record ', 'channelislandssurgicenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
charterbrokerage.net,BRK,charterbrokerage.net,False,True,True,r,r,1,quarantine,100,a:f:r:f,86400,mailto:infotech@charterbrokerage.net,mailto:infotech@charterbrokerage.net,quarantine,"0, charterbrokerage-net.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; rua=mailto:infotech@charterbrokerage.net; ruf=mailto:infotech@charterbrokerage.net; fo=1,charterbrokerage.net,,,,,,,dns101.register.com|dns102.register.com,,
chevron.com,CVX,chevron.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:chevron@rua.dmp.cisco.com,mailto:chevron@ruf.dmp.cisco.com,none,"10, mx1.hc2860-13.iphmx.com|10, mx2.hc2860-13.iphmx.com",,,v=spf1 mx ip4:146.23.30.128/27 ip4:146.23.215.144/29 ip4:146.23.203.136/29 ip4:146.23.201.136 ip4:146.23.201.137 ip4:146.23.18.144/29 ip4:146.23.21.64/27 ip4:146.23.25.64/27 ip4:146.23.219.64/27 ip4:146.23.221.64/27 ip4:146.23.207.64/27 ip4:146.23.205.64/27 ip4:216.71.143.233 ip4:216.71.140.137 include:spf.protection.outlook.com exists:%{i}.spf.hc2860-13.iphmx.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:chevron@rua.dmp.cisco.com; ruf=mailto:chevron@ruf.dmp.cisco.com,chevron.com,,,,,,,nswfc.chevron.com|nshou150.chevron.com|nssghq.chevron.com|nschvpk.chevron.com,,
chevronchina.com,CVX,chevronchina.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('chevronchina.com does not have a SPF TXT record', 'chevronchina.com'), 'chevronchina.com')",,A DMARC record does not exist for this domain or its base domain,,udns1.cscdns.net|udns2.cscdns.uk,,
chippewaboots.com,BRK,chippewaboots.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:079bfcda0d2c057@rep.dmarcanalyzer.com,mailto:079bfcda0d2c057@for.dmarcanalyzer.com,reject,"10, us-smtp-inbound-1.mimecast.com|10, us-smtp-inbound-2.mimecast.com",,,v=spf1 include:spf.bhshoeholdings.com ~all,v=DMARC1; p=reject; rua=mailto:079bfcda0d2c057@rep.dmarcanalyzer.com; ruf=mailto:079bfcda0d2c057@for.dmarcanalyzer.com; fo=1;,chippewaboots.com,,,,,,,ns-1324.awsdns-37.org|ns-153.awsdns-19.com|ns-1966.awsdns-53.co.uk|ns-534.awsdns-02.net,,
cigna.co.id,CI,cigna.co.id,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-000e5c01.gslb.pphosted.com|10, mxb-000e5c01.gslb.pphosted.com",,,v=spf1 exists:%{i}.spf.evernorth.com -all,v=DMARC1; p=reject; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.co.id,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 67.231.157.188 is mx0b-000e5c01.pphosted.com, but the A/AAAA DNS records for mx0b-000e5c01.pphosted.com do not resolve to 67.231.157.188|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 67.231.157.188 is mx0b-000e5c01.pphosted.com, but the A/AAAA DNS records for mx0b-000e5c01.pphosted.com do not resolve to 67.231.157.188",,,,,ns.cigna.com|ns2.cigna.com,,
cigna.co.nz,CI,cigna.co.nz,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 include:mktomail.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.co.nz,,No MX records found. Is the domain parked?,,,,,ns2.cigna.com|ns.cigna.com,,
cigna.co.th,CI,cigna.co.th,False,False,False,,,,,,,,,,,,,,,,,All nameservers failed to answer the query cigna.co.th. IN MX: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL,,"(NoNameservers('All nameservers failed to answer the query cigna.co.th. IN TXT: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL'), 'cigna.co.th')",,All nameservers failed to answer the query _dmarc.cigna.co.th. IN TXT: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL,,,All nameservers failed to answer the query cigna.co.th. IN NS: Server Do53:1.1.1.1@53 answered SERVFAIL; Server Do53:1.0.0.1@53 answered SERVFAIL,
cigna.com,CI,cigna.com,False,True,True,r,r,1,quarantine,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-000e5c01.gslb.pphosted.com|10, mxb-000e5c01.gslb.pphosted.com",,,v=spf1 include:_spf.cigna.com include:_spf.salesforce.com include:cignamail.verintefm.com exists:%{i}.spf.evernorth.com -all,v=DMARC1; p=quarantine; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com,,,,,,,ns2.cigna.com|ns.cigna.com,,
cigna.com.hk,CI,cigna.com.hk,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mail.cigna.com.hk",,,v=spf1 mx -all,v=DMARC1; p=none; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com.hk,,122.152.138.168 does not have any reverse DNS (PTR) records,,,,,ns2.cigna.com|ns.cigna.com,,
cigna.com.sg,CI,cigna.com.sg,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com.sg,,No MX records found. Is the domain parked?,,,,,ns.cigna.com|ns2.cigna.com,,
cigna.com.tw,CI,cigna.com.tw,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"1, mail.cigna.com.tw",,,v=spf1 ip4:220.130.127.168 include:spf.neweredm.com include:amazonses.com -all,v=DMARC1; p=reject; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cigna.com.tw,,,,,,,ns2.cigna.com|ns.cigna.com,,
cignacmb.com,CI,cignacmb.com,False,True,False,,,,,,,,,,,"10, cignacmb-com.mail.protection.partner.outlook.cn",,,v=spf1 ip4:116.214.128.17 include:spf.protection.partner.outlook.cn -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,dns18.hichina.com|dns17.hichina.com,,
cignaenvoy.com,CI,cignaenvoy.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 include:spf1.okta.com include:spf-000e5c01.pphosted.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cignaenvoy.com,,No MX records found. Is the domain parked?,,,,,ns2.cigna.com|ns.cigna.com,,
cignafinans.com.tr,CI,cignafinans.com.tr,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,,reject,"10, mail01.finansbank.com.tr|10, mail02.finansbank.com.tr|10, mail05.finansbank.com.tr|10, mail06.finansbank.com.tr|10, mail07.finansbank.com.tr|10, mail08.finansbank.com.tr|20, mail03.finansbank.com.tr|20, mail04.finansbank.com.tr",,,v=spf1 ip4:62.108.64.0/24 ip4:62.108.72.0/24 -all,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,cignafinans.com.tr,,,,,,,ns4.finansbank.com|ns.finansbank.com|ns2.finansbank.com|ns3.finansbank.com,,
cignaglobalhealth.com,CI,cignaglobalhealth.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cignaglobalhealth.com,,No MX records found. Is the domain parked?,,,,,ns2.cigna.com|ns.cigna.com,,
cignalegal.co.uk,CI,cignalegal.co.uk,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-000e5c011.gslb.pphosted.com|20, mxb-000e5c011.gslb.pphosted.com",,,v=spf1 ip4:185.132.180.109 ip4:185.183.28.71 -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cignalegal.co.uk,,,,,,,ns.cigna.com|ns2.cigna.com,,
cignasalud.es,CI,cignasalud.es,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 ip4:217.116.5.148 ip4:109.70.36.99 ip4:109.70.36.105 -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cignasalud.es,,No MX records found. Is the domain parked?,,,,,ns.cigna.com|ns2.cigna.com,,
cignattkinsurance.in,CI,cignattkinsurance.in,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,,,,v=spf1 -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,cignattkinsurance.in,,No MX records found. Is the domain parked?,,,,,ns2.cigna.com|ns.cigna.com,,
citrussurgerycenter.com,UNH,citrussurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('citrussurgerycenter.com does not have a SPF TXT record ', 'citrussurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
cjasc.com,UNH,cjasc.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:e9fbkgxn@ag.c1.dmarcian.com,mailto:e9fbkgxn@fr.c1.dmarcian.com,none,"0, maila16.webcontrolcenter.com",,,v=spf1 a mx/24 ip4:63.134.207.1/24 ip4:216.119.112.141 ?all,v=DMARC1; p=none; rua=mailto:e9fbkgxn@ag.c1.dmarcian.com; ruf=mailto:e9fbkgxn@fr.c1.dmarcian.com;,cjasc.com,,160.19.50.40 does not have any reverse DNS (PTR) records,,The domain /24 does not exist,,,pdns13.domaincontrol.com|pdns14.domaincontrol.com,,
clarusonesourcing.com,MCK,clarusonesourcing.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mx0a-0016dd01.pphosted.com|10, mx0b-0016dd01.pphosted.com",,,v=spf1 a include:_spf1.mckesson.com include:_spf.salesforce.com -all,v=DMARC1;p=reject;sp=reject;adkim=r;aspf=r;fo=1;pct=100;rf=afrf;ri=86400;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,clarusonesourcing.com,,,,,,,ep1ns01.mckesson.com|ep2ns03.mckesson.org|ep1ns04.mckesson.com|ep2ns01.mckesson.com|ep1ns02.mckesson.net|ep1ns03.mckesson.org|ep2ns02.mckesson.net,,
claytonhomes.com,BRK,claytonhomes.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:dmarc_agg@vali.email,,reject,"10, mxa-000e6302.gslb.pphosted.com|10, mxb-000e6302.gslb.pphosted.com",,,v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ip4:129.152.47.20 ip4:129.152.47.21 include:spf_c.oraclecloud.com ~all,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email,claytonhomes.com,,,,,,,ns71.domaincontrol.com|ns72.domaincontrol.com,,
clinicalacolina.com,UNH,clinicalacolina.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"5, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:190.248.60.32/27 ip4:200.31.65.17 ip4:186.31.133.10 ip4:149.111.143.21 include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,clinicalacolina.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.141.231 is mail101.corpmailsvcs.com, but the A/AAAA DNS records for mail101.corpmailsvcs.com do not resolve to 149.111.141.231",,,,,nameserver04.mi.com.co|nameserver02.mi.com.co|nameserver01.mi.com.co|nameserver03.mi.com.co,,
coa.pe,UNH,coa.pe,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"15, mailrnh.corpmailsvcs.com|20, coa.pe",,,v=spf1 include:_spfae.corpmailsvcs.com include:_spf.google.com include:spf.protection.outlook.com ip4:174.138.169.58 ip4:174.138.169.58 ip4:161.132.118.80/29 +a ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,coa.pe,,,,,,,NS.RCP.NET.pe|NS2.RCP.NET.pe,,
